EMPLOYER_NAME,INITIAL_APPROVALS,TOTAL_APPLICATIONS,MEDIAN_SALARY,TOP_JOB_TITLE,TOP_STATE,APPROVAL_RATE
Merrill Lynch Commodities Inc.,5,5,190000,Associate - Quant,NY,100.0
SECUREAPP TECHNOLOGIES,5,5,92394,IT Application Security Architect,IL,100.0
NeST Technologies Corporation,5,5,122699,Software Engineer,VA,100.0
Avnera Corporation,5,5,171017,STAFF ELECTRICAL ENGINEER,CA,100.0
ABAB Solutions Inc,5,5,102190,Data Engineer,MI,100.0
Xometry Inc.,5,5,200000,Staff Technical Program Manager,MA,100.0
Kunai Inc.,5,5,155605,iOS Solutions Engineer,VA,100.0
Metiz Technologies LLC,5,5,91000,Business Analyst,GA,100.0
"Methodist University, Inc.",5,5,69060,Director of Global Education,NC,100.0
Sailpan Solutions Inc.,5,5,112923,Salesforce CRM Developer,TX,100.0
ZENTEST SOFTWARE LLC,5,5,129000,VP - Client Solutions,MO,100.0
"Amphenol TCS, a division of Amphenol Corporation",5,7,109096,Signal Integrity Engineer,NH,71.4
Univ of WI System/River Falls,5,8,77500,Assistant Professor,WI,62.5
ABAL Technologies Inc,5,5,109262,Software Developer,TX,100.0
International Foundation for Ethics and Audit,5,9,151000,"Senior Manager, IAASB",NY,55.6
ALLWYN CORPORATION,5,6,114491,Software Developer,VA,83.3
Beacon Medical Group,5,5,270000,Family Medicine Physician,MI,100.0
"Metanoia Solutions, Inc.",5,5,120000,React Developer,OH,100.0
Ample IT Services LLC,5,5,100000,Computer Programmer,AZ,100.0
"Universal City Development Partners, Ltd.",5,5,116397,"Lead Software Engineer, DevOps",FL,100.0
"Sagemcom USA, LLC",5,5,113093,Software Developer,TX,100.0
Sagebrush Health Services,5,5,80000,Management Analyst - IT Systems and Operations,NV,100.0
Logicalis INC.,5,5,150000,System Engineer Network,MI,100.0
"Beam Therapeutics, Inc.",5,5,130000,"Director, Statistical Programming",MA,100.0
International Solutions Group Inc,5,5,95389,Data Analyst,IA,100.0
Logicera Inc,5,7,90355,Java Developer,TX,71.4
"CF Industries Employee Services, LLC",5,5,156964,Sr Database Administrator,IL,100.0
Avventis Inc,5,5,105997,IT Consultant,TX,100.0
"Wellmont Medical Associates, Inc.",5,5,164320,Surgeon,TN,100.0
Vankay Systems Inc,5,5,70678,Technical consultant,NC,100.0
Northwest Iowa Hospital Corporation,5,7,70928,Medical Laboratory Scientist,IA,71.4
RYZEN SOLUTIONS,5,5,116480,Reliability Engineer,CA,100.0
AST Global Inc.,5,5,122699,AI/ML Engineer,MA,100.0
"Lineage Logistics, LLC",5,5,130000,Procurement Analyst,MI,100.0
Bolt Financial Inc.,5,5,165000,Senior Software Engineer in Test,CA,100.0
MSQUARE SYSTEMS INC,5,5,97000,QA/Tester,MD,100.0
"W3GLOBAL, INC.",5,6,114368,Software Developer,TX,83.3
Redefined Corp.,5,5,106700,Software Developer,NY,100.0
"Ascension Logistics, Inc.",5,5,136014,Senior Solution Architect,OH,100.0
SMART FOLKS INC,5,5,155605,Solution Architect,CA,100.0
"SOUTHWIRE COMPANY, LLC",5,5,116667,Process Engineer III,GA,100.0
"MEGATRENDZ MEDIA USA, INC.",5,5,91500,PRODUCT OWNER,PA,100.0
Niche IT Software Solutions LLC,5,7,105997,Senior Data Engineer,TX,71.4
AYRAS TECHNOLOGIES LLC,5,5,90000,UX DESIGNER,NJ,100.0
KAYAK Software Corporation,5,6,163935,"Director, Data Analytics",MA,83.3
KB Machines US Holdings LLC,5,5,99420,Global Solution Architect,IL,100.0
VENUSGEO SOLUTIONS INC.,5,5,109845,SOFTWARE DEVELOPER,MD,100.0
"MRL San Francisco, LLC",5,5,128800,"Senior Scientist, Pathology",CA,100.0
Opel Systems,5,5,97032,Software Developer,MI,100.0
SIFA Learning Academy Charter School,5,5,40850,Middle School Chemistry Teacher,GU,100.0
"VERINOVA TECHNOLOGIES, LLC.",5,5,90667,SOFTWARE DEVELOPER,MO,100.0
"AI-Fabrics, LLC",5,5,170000,Design Technical Leader,CA,100.0
"KC Synergy Solutions, Inc.",5,5,101754,Senior Software Developer,CA,100.0
"Opaida, Inc.",5,5,150000,Machine Learning Engineer,NJ,100.0
"VEROTECH SOLUTIONS,LLC",5,5,93600,MANUFACTURING ENGINEER,CT,100.0
"BodyShopBids, Inc.",5,5,164767,Senior Software Engineer,IL,100.0
"VERSITI WISCONSIN, INC.",5,5,73280,Research Scientist I,WI,100.0
MENTOUR CORPORATION,5,5,113600,SOFTWARE DEVELOPER APPLICATIONS - JAVA,TX,100.0
"Biz2Credit, Inc.",5,5,140000,Senior Accountant,NY,100.0
"Niagara Machine, Inc",5,5,66500,Accountant ,NC,100.0
KENTUCKY FARM BUREAU MUTUAL INSURANCE CO.,5,5,99275,SOFTWARE TESTING & QUALITY ENGINEER II,KY,100.0
"NextEra Energy Marketing, LLC",5,5,148000,Principal Analyst Fundamental Analysis,FL,100.0
"Astrix Technology, LLC",5,5,148000,Business Analyst,NJ,100.0
Premier Bankcard LLC,5,5,106517,Database Administrator II,SD,100.0
"AIBC SOLUTIONS, LLC",5,5,105997,Software Developer,CO,100.0
Reddy Infosys Inc,5,5,95000,SAP DEPLOYMENT PROJECT MANAGER,FL,100.0
MTSS Group Inc.,5,8,99840,Software Architect,NJ,62.5
Madison Energy Holdings LLC,5,6,93828,"Project Manager, Engineering",FL,83.3
Joslin Diabetes Center,5,7,75382,Research Fellow,MA,71.4
"Joy Global Surface Mining, Inc.",5,5,151053,Cloud Integration Engineer,WI,100.0
Kargo Global LLC,5,5,141170,Senior Analytics Engineer,NY,100.0
Prevail Infotech Inc,5,5,104499,Software Developer,UT,100.0
"Mach 2000 Technologies, Inc.",5,5,76128,Quality Assurance Test Engineer,CO,100.0
Red Clay Consolidated School District,5,5,62821,School Psychologist,DE,100.0
Nicholls State University,5,7,67256,Assistant Professor of Finance,LA,71.4
"AES CLEAN ENERGY SERVICES, LLC",5,5,123000,"Senior Analyst, Structures & Pricing",TX,100.0
YelseSoft Technologies Inc.,5,9,78000,Software Quality Automation Analyst,MI,55.6
"AIC INTERNATIONAL, INC.",5,5,72000,Civil Engineer,GU,100.0
WISSEN INFOTECH INC,5,5,96574,Sr. Oracle Database Administrator,PA,100.0
OpenTeQ Technologies LLC,5,5,110000,Senior SAS Adminstrator,TX,100.0
"Boston Data Pro, LLC",5,5,110000,Java Cloud Engineer,OH,100.0
"Rent-a-Center Texas, LP",5,5,170000,Software Engineer IV  9981467,TX,100.0
WISHEK HOSPITAL CLINIC ASSOCIATION,5,5,72800,EMERGENCY ROOM CHARGE NURSE,ND,100.0
"Rent the Runway, Inc.",5,5,158974,Business Intelligence Analyst II,NY,100.0
Atlan Inc,5,5,150000,Customer Solutions Architect,CA,100.0
"Zynga, Inc.",5,6,129480,Senior Software Engineer,CA,83.3
SPLINT PHARMA LLC,5,10,81099,MECHANICAL DESIGN ENGINEER,MN,50.0
SPLENDORA INDEPENDENT SCHOOL DISTRICT,5,5,65500,Bilingual Teacher,TX,100.0
MUNICORN INC,5,5,112923,Salesforce Developer,CA,100.0
MULTIVISION LLC,5,18,111789,Software Engineer,VA,27.8
JustAnswer LLC,5,5,125632,Senior Analyst II,CA,100.0
VCA Inc.,5,5,135000,VETERINARIAN,CA,100.0
"SPG Therapy & Education, PC",5,5,116480,Physical Therapist,CA,100.0
"WINWIRE TECHNOLOGIES, INC.",5,5,170914,Full stack .NET Developer,CA,100.0
"VM Consolidated, Inc.",5,5,129667,Principal Database Systems Architect,AZ,100.0
"Board of Trustees, University of Illinois, on behalf of University of Illinois Springfield",5,5,86424,Assistant Professor,IL,100.0
KEYPIXEL SOFTWARE SOLUTIONS LLC.,5,5,91374,AWS DATABASE ADMIN,GA,100.0
KUKA U.S. Holdings Company LLC,5,5,136000,Sr. Salesforce Developer,TX,100.0
VIEWVERTICAL TECHNOLOGIES LLC,5,5,120000,Senior Software Engineer,GA,100.0
"VIJAYA CONSULTANCY SERVICES, INC.",5,5,85000,SOFTWARE DEVELOPER,TX,100.0
"Regeneron Genetics Center, LLC",5,5,161975,Assoc Mgr Statistical Genetics,NY,100.0
"Regeneron Healthcare Solutions, Inc.",5,5,195000,"Associate Director, Sales Forecasting & Analytics",NY,100.0
AVKS CONSULTING INC,5,5,82971,Java Full Stack Developer,TX,100.0
"BlackRock Investment Management, LLC ",5,6,162550,Vice President,NJ,83.3
"Blackbaud, Inc.",5,5,137000,"Project Manager, Senior",IL,100.0
"KTech Products, LLC",5,5,105997,Software Developer,TX,100.0
AGS LLC,5,6,140638,Vice President of Corporate IT and Security,GA,83.3
"One on One Physical Therapy, LLC",5,5,93954,Clinical Director,NY,100.0
SOFTPATH SYSTEM LLC,5,5,103210,SOFTWARE DEVELOPER,GA,100.0
"Premier Research International, LLC",5,5,113131,Software Developer,NC,100.0
"Blackrock Microsystems, LLC",5,7,112000,Regulatory Affairs Specialist,UT,71.4
"VIRTUAL LABS, INC.",5,5,112923,SOFTWARE ENGINEER,NY,100.0
WEDOCLEVER LLC,5,5,89877,Network Security Engineer,PA,100.0
AI Consultants Inc,5,5,122100,Software Developer,MD,100.0
"MIPS Holding, Inc.",5,7,195000,Senior Staff Engineer,TX,71.4
SOFT PARCH LLC,5,5,78000,SOFTWARE DEVELOPER,TX,100.0
"AssetMark Financial Holdings, Inc.",5,5,160000,Project Manager,CA,100.0
"AH Capital Management, LLC",5,5,350000,"Member of Technical Staff, Crypto",CA,100.0
MINDQUEST TECHNOLOGY SOLUTIONS LLC.,5,5,101234,DATA ANALYST,TX,100.0
KSOFT SYSTEMS INC,5,5,110000,SOFTWARE DEVELOPER,KS,100.0
"KSAP TECHNOLOGIES, INC",5,5,145000,Sr. OTM/GTM Techno-Functional Solution Architect,IL,100.0
Nexxen Inc. ,5,5,210000,"Manager, Technical Solutions Engineering",CA,100.0
"Relevantz Technology Services, Inc",5,5,114500,Senior Software Test Engineer,GA,100.0
"AHEADCOMPUTING, INC.",5,5,166866,Senior Design Verification Engineer,OR,100.0
"KRDL USA, INC",5,5,108077,Microsoft Azure Cloud Specialist,IL,100.0
Astor & Sanders Corporation,5,5,151004,Software Developer,VA,100.0
Yokogawa Corporation of America,5,6,122012,Systems Consultant III,TX,83.3
"KEYPIXEL SOFTWARE SOLUTIONS, LLC.",5,5,126090,IT MANAGER,NJ,100.0
SOLIX TECHNOLOGIES INCORPORATED,5,8,133600,Senior Systems Analyst,TX,62.5
Bluo Software LLC,5,5,97318,Lead Database Developer,TX,100.0
KEYSTONE RURAL HEALTH CENTER,5,6,250000,Dentist,PA,83.3
SOUMAVA SEN DDS PC ,5,5,208000,PROSTHODONTIST,TX,100.0
"VIA TRANSPORTATION, INC.",5,5,85000,Operations Principal,NY,100.0
Bluescape LLC,5,5,113000,Systems Engineer,TX,100.0
Reed College,5,5,80285,Assistant Professor of Psychology,OR,100.0
KI INFOSYSTEMS LLC.,5,5,90397,SOFTWARE DEVELOPER,MO,100.0
VIATechnik LLC,5,6,105400,VDC Manager,IL,83.3
"KI INFOSYSTEMS, LLC.",5,5,95139,SOFTWARE DEVELOPER,MO,100.0
"KIA GEORGIA, INC.",5,5,87568,Quality Improvement Engineer,GA,100.0
"KIBO SOFTWARE, INC.",5,5,148950,DevOps Engineer,TX,100.0
"MERITEK, INC.",5,5,78000,Quality Assurance Analyst,MI,100.0
"Black Duck Software, Inc.",5,5,132579,Professional Services Consulting,CA,100.0
AXITEM SOFTWARE SOLUTION INC,5,6,84050,SOFTWARE ENGINEER,TX,83.3
WHOOP Inc.,5,6,152500,Software Development Engineer in Test II,MA,83.3
NextPhase.ai LLC,5,5,124488,DATA ENGINEER,CA,100.0
MOYI INC,5,5,110822,Software Developer,AR,100.0
"VIBRANT, INC.",5,5,90000,Computer Programmer,NJ,100.0
SONY ELECTRONICS INC.,5,9,140997,Sr. Embedded Hardware Engineer,CA,55.6
NextRow Inc.,5,5,135000,Software Developer,IL,100.0
"MOTION RECRUITMENT PARTNERS, LLC",5,5,149781,JAVA DEVELOPER,TX,100.0
"MORTGAGE CONNECT, LP",5,5,107000,SR. SOFTWARE ENGINEER,PA,100.0
"KIOXIA America, Inc.",5,5,132000,"Senior Engineer, IT Applications, Information Technology",CA,100.0
AVID SYSTEMS LLC,5,6,145000,SOA ADMINISTRATOR,DC,83.3
"KVK-Tech, Inc.",5,5,108000,Chemist,PA,100.0
"Astra Consulting Corp,",5,5,94203,ADA Tester,GA,100.0
MONARCH HEALTHCARE MANAGEMENT LLC,5,5,96741,Associate Administrator,MN,100.0
"Predactiv, Inc.",5,5,124176,Product Manager,CA,100.0
Bowdoin College,5,5,71000,Visiting Assistant Professor of Biology,ME,100.0
MAXPRO INC,5,5,109000,SOFTWARE ENGINEER,TX,100.0
Brivo Systems LLC,5,8,130000,Senior Data Engineer,TX,62.5
MACHU PICCHU ENERGY LLC,5,5,180000,Chief Executive Officer,CA,100.0
"Marketing Associates, LLC dba OneMagnify",5,12,108136,Technical Solutions Manager,MI,41.7
Marketech International Corporation USA,5,5,64480,Warehouse Supervisor,AZ,100.0
Resourcesoft Inc ,5,9,100880,Software Developer,NC,55.6
Noridian Healthcare Solutions,5,5,140600,Senior Software Developer,VA,100.0
Markem-Imaje Corporation,5,6,115773,Process Automation Engineer - KBGFJG273003-2,NH,83.3
Auramedpro Inc,5,5,92331,Sr. Business Systems Analyst,NC,100.0
"S R INTERNATIONAL, Inc.",5,6,128877,Software Developer (.NET),AZ,83.3
"Zipcar, Inc.",5,5,138000,QA Engineer III,MA,100.0
"Aura Sub, LLC",5,5,185000,Senior Software Engineer,CA,100.0
Marietta Memorial Hospital,5,5,62421,Medical Technologist,OH,100.0
"Janssen Global Services, LLC",5,5,180000,Director Global Comm Strat Precision Medicine,NJ,100.0
"Janssen Pharmaceuticals, Inc.",5,5,180000,"Advanced Analytics- Engagement Manager, Oncology(Hematology)",NJ,100.0
"Zipline International, Inc.",5,6,163000,Senior Embedded Camera Software Engineer,CA,83.3
"Aunalytics, Inc.",5,8,101026,Data Insights & Visualization Manager,IN,62.5
"Phreesia, Inc.",5,5,155000,Data Engineer,FL,100.0
"ADROIT ASSOCIATES, LLC",5,5,112424,Salesforce Marketing Cloud Developer,OH,100.0
"Margarita R. Cancio, MD, PA",5,5,240000,Infectious Disease Physician,FL,100.0
YZENX Inc.,5,5,99299,Software Engineer / Devops Engineer,NJ,100.0
"SK Battery America, Inc.",5,5,75000,Assembly Maintenance Engineer,GA,100.0
Aujas Cybersecurity Limited,5,7,133500,Information Security Analyst,TX,71.4
Wake County Board of Education,5,5,56007,High School Spanish Teacher,NC,100.0
"Randstad General Partner (US), LLC",5,5,130147,Sr. Business System Analyst II,GA,100.0
Bright Bird Technologies Inc,5,5,131997,Software Developer,NJ,100.0
"Marathon Health, LLC",5,5,105747,Senior Data Engineer,CT,100.0
Kellogg Business Services Company LLC,5,5,162816,Lead IT Architect,MI,100.0
"Prime Healthcare Illinois Medical Group, LLC",5,5,280800,Hospitalist Physician,IL,100.0
Responsive Technologies Inc,5,5,86653,Computer Systems Architect,TX,100.0
New England IT Associates Inc,5,5,94578,Software Developer,CO,100.0
"Bridgestone Americas, Inc.",5,7,147530,Senior Enterprise Architect,TN,71.4
"New England Center for Children, Inc.",5,6,48760,Rehabilitation Counselor,MA,83.3
Buaut Technologies LLC,5,5,109283,Snowflake Project/Program Manager,IL,100.0
Ouster Inc.,5,7,170914,NetSuite Application Support Engineer,CA,71.4
"Priority Care Staffing, LLC",5,6,99486,Care Manager,NY,83.3
"SIFT SCIENCE, INC.",5,5,172000,"SOFTWARE ENGINEER, IDENTITY PROTECTION",CA,100.0
Neurealm Inc.,5,5,139492,Project Lead,NC,100.0
Aranya Cloud Technologies LLC,5,5,98862,Software Engineer,FL,100.0
"Warp Drive, Inc. ",5,5,207000,Security Engineer,NY,100.0
Brown Brothers Harriman & Co. ,5,5,145000,Senior Systems Programmer Analyst,NJ,100.0
STUDIOS Architecture ,5,7,77000,Designer,CA,71.4
SILICON TECH SOLUTIONS INC,5,5,121077,Java Full Stack Developer,CA,100.0
"Our Lady of Lourdes Memorial Hospital, Inc. d/b/a Guthrie Lourdes Hospital",5,5,525000,Dermatologist,NY,100.0
"Masimo Americas, Inc.",5,10,125216,Product Manager,CA,50.0
Marymount University,5,5,91000,Assistant Professor of Business,VA,100.0
"eConvergence, Inc.",5,5,129667,Software Developer,CA,100.0
North American University,5,5,60000,UMCR Specialist,TX,100.0
eClerx LLC,5,5,145000,Senior Software Architect,NJ,100.0
Brookfield Asset Management LLC,5,7,150000,Vice President,NY,71.4
"BronxCare Dr. Martin Luther King Jr. Health Center, Inc.",5,5,240000,Primary Care Physician,NY,100.0
Nevada Power Company,5,7,117329,Data Analyst II - CPS,NV,71.4
Omaha Public Power District,5,5,137917,Senior Cloud Engineer,NE,100.0
"New Balance Athletics, Inc.",5,6,125715,Senior Software Engineer,MA,83.3
"Access PT, OT, New York, PLLC",5,5,95000,Clinic Director - Physical Therapist,NY,100.0
Pepperdine University,5,8,71500,"Budget Analyst, Caruso School of Law",CA,62.5
"Peramal Services, LLC",5,5,114754,Software Engineer,TX,100.0
New Cibo Vita LLC,5,5,103210,Marketing Planning Manager,NJ,100.0
"RadiusAI, Inc.",5,8,179166,Product Manager,WA,62.5
"SIMPLIIGENCE, INC.",5,5,95000,SALESFORCE ANALYST,NJ,100.0
Rapid7 LLC,5,5,148122,Senior Software Engineer,VA,100.0
Yakima Valley Memorial Hospital Association,5,5,314964,Physical Therapist,WA,100.0
"MAVIN TECHNOLOGIES, INC",5,5,101109,SOFTWARE DEVELOPER,FL,100.0
"Reach Financial LLC (fka Liberty Lending, LLC)",5,7,100000,Credit Risk Analyst,NY,71.4
V.G. Gozum Construction LLC,5,5,35714,Civil Engineer,GU,100.0
"Abbott Diabetes Care, Inc.",5,5,165000,Staff SDET,CA,100.0
"Armadin, Inc.",5,5,187741,Software Engineer,CA,100.0
AbbVie Biotherapeutics Inc.,5,5,129669,"Scientist II, Bioanalytic",CA,100.0
Brambles USA Inc,5,5,215592,Software Developer,CA,100.0
Nirvana Enterprises LLC,5,5,128960,Python FullStack Developer,TX,100.0
"Kavi Associates, LLC",5,5,139901,Global Delivery Leader,IL,100.0
SRISAN GROUP INC,5,5,81245,Data Scientist,TX,100.0
Ninth Wave,5,5,109221,Software Engineer,NY,100.0
WSD DIGITAL LLC,5,6,102315,Business Analyst,CT,83.3
"Yash Solutions, LLC ",5,5,108514,SAP Functional Consultant,GA,100.0
Precision Additive Solutions Inc.,5,5,110000,Senior Additive Materials Engineer,IN,100.0
"Research and Diagnostic Systems, Inc. ",5,6,90261,Sr. Product Marketing Specialist,MN,83.3
Johnson & Johnson Services Inc,5,5,189500,Senior Manager Enterprise Architect,CA,100.0
"Arnisys, LLC",5,5,105997,Software Developer 2,TX,100.0
"MASTER MINDS CONSULTING SERVICES, LLC.",5,5,117998,DATA GOVERNANCE ENGINEER,TX,100.0
"Johnson Brothers Corporation, a Southland Company",5,6,94000,Project Engineer,LA,83.3
"MATRIX PRECISE, INC.",5,7,155605,IT Operations Manager,CA,71.4
"BioAgilytix Labs, LLC",5,6,124761,Manager I,NC,83.3
SLB Capturi USA LLC,5,6,130000,Modeling and Simulation Engineer,TX,83.3
"Yasme Soft, Inc.",5,5,109000,Software Engineer,TX,100.0
Johnson Controls Fire Protection LP,5,5,119912,PRINCIPAL ELECTRICAL ENGINEER,MA,100.0
"VADILAL INDUSTRIES(USA), INC.",5,5,100776,Sales Engineer,PA,100.0
Johnson Matthey Inc. ,5,5,97338,Applications Engineer - KBGFJG217405-3,PA,100.0
AEGIS SERVICE CORP.,5,5,97344,Operations Research Analyst,NY,100.0
"MATTSON TECHNOLOGY, INC.",5,6,136926,SOFTWARE ENGINEER 2,CA,83.3
SRI INTERNATIONAL,5,5,146515,Bioscience research scientist II,CA,100.0
"bioMerieux, Inc.",5,5,114326,Senior Software Verification Tester,MO,100.0
"SKIMS Body, Inc.",5,5,191325,Sr. NetSuite Engineer ,CA,100.0
Prime Data Soft LLC,5,5,106579,Sr. Full Stack Developer,TX,100.0
Opusclip Inc.,5,5,141564,Software Development Engineer in Test,CA,100.0
"VSOFT SOLUTIONS, INC.",5,5,86000,SOFTWARE ENGINEER,GA,100.0
"VSLN INTERNATIONAL, INC",5,5,91000,SOFTWARE DEVELOPER,KY,100.0
"ST. JUDE MEDICAL BUSINESS SERVICES, INC.",5,5,100000,Principal Medical Writer,MN,100.0
"BridgeBio Services, Inc.",5,5,190000,"VP, Strategic Finance",CA,100.0
Yale-New Haven Hospital,5,5,85388,Resident Physician in Internal Medicine,CT,100.0
"TScan Therapeutics, Inc.",5,15,105331,Principal Research Associate,MA,33.3
Manhattan University,5,5,92500,Visiting Assistant Professor (Mathematics),NY,100.0
"Manhattan Telecommunications Corporation of NJ, Inc.",5,5,150000,Senior Systems Engineer,NJ,100.0
Urgent.ly,5,5,145000,Senior Software Automation Engineer,VA,100.0
Big-D Corporation,5,6,94146,Assistant Project Manager,UT,83.3
"Augusta Hitech Soft Solutions, LLC",5,5,90896,Java Full Stack Engineer,TX,100.0
"Mango Technologies, Inc.",5,5,183000,Director of Engineering,CA,100.0
"YugabyteDB, Inc. ",5,6,172750,Customer Advocate & Technology Evangelist,CA,83.3
"Perplexity AI, Inc.",5,5,213512,Member of Technical Staff,CA,100.0
SSN GROUP LLC,5,5,94370,Software Quality Engineer,VA,100.0
SKF USA Inc.,5,5,125278,AMER FVC Quality Manager,MI,100.0
VS SOFT L.L.C. ,5,5,105500,Software Developer II,FL,100.0
MANN HUMMEL Filtration Technology US LLC,5,6,118747,Product Engineer,NC,83.3
Jill Acquisition LLC,5,5,154606,Senior Merchandising Systems Analyst,MA,100.0
Arizona Public Service Company ,5,6,129500,IT Meter Data Management Analyst,AZ,83.3
ATRIX NETWORX LLC,5,5,106197,Senior Software Associate,TX,100.0
Waabi Innovation US Inc.,5,5,230000,Software Developer II,CA,100.0
Omnicron Technologies LLC,5,7,84095,Systems Engineer,TX,71.4
New York State Office of Mental Health ,5,5,117601,Research Scientist 4,NY,100.0
ATRIX TECHNOLOGIES LLC,5,5,106197,Senior Software Associate,TX,100.0
"Utility Data Contractors, LLC (formerly Inc.)",5,5,142771,GIS Analyst V,PA,100.0
"Personalized Beauty Discovery, Inc.",5,6,138174,"Manager, Operations",CA,83.3
"L.L.Bean, Inc.",5,5,142684,Systems Analyst I,ME,100.0
MIDMARK CORPORATION,5,5,132500,Test Engineer III,OH,100.0
"Ajinomoto Foods North America, Inc.",5,5,110000,Accounting Manager,CA,100.0
ORIANA SOFTWARE SOLUTIONS INC,5,5,66602,SOFTWARE ENGINEER,TX,100.0
"QSC, LLC",5,5,138382,Senior Software Quality Assurance Engineer,CA,100.0
CREDITEX GROUP INC,5,7,109500,Lead QA Engineer,GA,71.4
"CREATIVE SYNERGIES GROUP, LLC.,",5,5,80000,Mechanical Engineer,MI,100.0
Nainomindz Solutions LLC,5,5,109845,Software Developer,DE,100.0
Balboa Bay Partners LLC,5,5,135000,Consultant,CA,100.0
"Morgan Stanley Private Bank, NA",5,5,157000,Vice President,NY,100.0
OHIO NORTHERN UNIVERSITY,5,5,70000,Assistant Professor of Electrical and Computer Engineering,OH,100.0
"VideaHealth, Inc.",5,5,175000,Software Engineer,MA,100.0
"Cambridge Memorial Hospital, Inc. ",5,5,70470,Medical Technologist,NE,100.0
ONWARD TECHNOLOGIES INC,5,5,77896,Mechanical Engineer,IL,100.0
"1-800-Flowers.Com, Inc.",5,5,173534,Technical Manager,NY,100.0
"XConn Technologies Holdings, Inc.",5,5,190000,Senior Design Verification Engineer,CA,100.0
Vensa Tek LLC,5,5,92040,Programmer Analyst,TX,100.0
NOVANT MEDICAL GROUP,5,5,200000,PEDIATRICIAN,NC,100.0
Advanced Technology Laboratories Inc.,5,5,58074,"Chemist, Organics and Inorganics Analysis",NV,100.0
Lendage LLC,5,5,155000,Software Engineer,CA,100.0
"IndopolTech, LLC",5,7,101900,Senior Cloud Architect,NC,71.4
"CPO Services, Inc.",5,5,56555,Resident Orthotist/Prosthetist,IL,100.0
Camden-Clark Physician Corporation Inc,5,5,447420,Physician Hospitalist/Nephrologist,WV,100.0
Protiviti Inc.,5,5,160000,"Manager, TC - Business Platform Transformation",TX,100.0
Akin Gump Strauss Hauer & Feld LLP,5,5,310000,Associate,NY,100.0
PVR AMERICA INC,5,5,74984,Support Engineer,TX,100.0
XDuce Corporation,5,5,134000,Software Developer,NY,100.0
"Index Analytics, LLC",5,5,130000,Senior Salesforce Developer,NC,100.0
"Allison Transmission, Inc.",5,6,117500,"Senior Engineer, Power Electronics",IN,83.3
Williamsburg County School District,5,5,47000,Secondary Math Teacher,SC,100.0
"NOVELTY INFOTECH, INC.",5,5,112986,SOFTWARE DEVELOPER,NC,100.0
CSI Solutions LLC,5,5,105227,Software Engineer,GA,100.0
PRIMETALS TECHNOLOGIES USA LLC,5,5,115000,Senior System Engineer,GA,100.0
"USWM CT, LLC",5,5,171384,Principal Programmer,KY,100.0
Lawrence General Hospital,5,5,299458,Physician (Hospitalist),MA,100.0
NACHWAY CONSULTING LLC,5,7,92789,Embedded Software Engineer,IL,71.4
Incredible Software Solutions LLC,5,5,79518,Business Intelligence Analysts,TX,100.0
NYU Langone Hospitals,5,5,92220,Operations Analyst,NY,100.0
"Quantifind, Inc.",5,5,126818,Associate Data Scientist,CA,100.0
"Prove Identity, Inc.",5,5,132000,Senior Software Engineer,CA,100.0
PRIME CONSULTING LLC,5,5,91374,SOFTWARE QUALITY AUTOMATION ENGINEER,TX,100.0
"UT Le Bonheur Pediatric Specialists, Inc",5,5,239200,Pediatric Critical Care Physician,TN,100.0
UV TECHNOLOGY SOLUTIONS INC,5,5,95784,Software Developer,VA,100.0
10Jumps Inc.,5,5,89565,Software Developer/Technical Lead,IL,100.0
"CS ENERGY, LLC",5,5,108447,Assistant Project Manager L2,NY,100.0
BLUE5GREEN LLC.,5,5,125000,SENIOR SALESFORCE DEVELOPER,NJ,100.0
"ANAGHA SOLUTIONS, INC.",5,5,112424,SOFTWARE JAVA DEVELOPER,TX,100.0
Alliant Credit Union,5,5,148741,Principal Software Engineer,IL,100.0
APT HOLDINGS LLC,5,5,95139,Physical Therapist,MD,100.0
Quantom Tech LLC,5,5,101566,Salesforce Consultant,NJ,100.0
Akshaya Inc,5,6,117175,Solutions Architect,TX,83.3
"ONE NETWORK ENTERPRISES, INC.",5,5,125288,Development Director,TX,100.0
APT Holdings LLC,5,5,83595,Chiropractor,MD,100.0
S9 Technologies Inc,5,5,105500,Software Developer,GA,100.0
NAVI TECHNOLOGIES INC,5,5,105997,SOFTWARE DEVELOPER,TX,100.0
Uintah Basin Healthcare,5,5,68141,Medical Technologist,UT,100.0
Baptist Health Group,5,5,62234,Medical Technologist,AR,100.0
COPPER DART INC,5,5,97157,SOFTWARE ENGINEER,TX,100.0
OMADA HEALTH INC.,5,5,188600,Senior Software Engineer,CA,100.0
"4Consulting, Inc.",5,5,115000,Sales Engineer,TX,100.0
"Rohm and Haas Chemicals, LLC",5,5,115586,Senior Research Specialist,PA,100.0
"Nutrisystem, Inc.",5,6,136965,Senior Integration Developer,PA,83.3
Latent AI Inc,5,5,176499,Lead Research Scientist,NJ,100.0
Moffatt & Nichol,5,7,125299,Civil Engineer III,CA,71.4
Viking Global Investors LP,5,5,175000,Business Intelligence & Performance Analytics Sr. Developer,NY,100.0
"Publicis Health Media, LLC",5,5,116000,"Associate, Partner Direct",NY,100.0
Aisin World Corporation of America,5,5,92581,Function Owner (LBS PM),TX,100.0
Undocked Inc.,5,5,166000,"Director, Services",GA,100.0
NCHENG LLP CERTIFIED PUBLIC ACCOUNTANTS,5,5,90000,Audit Associate,NY,100.0
